,CNTY,SR,SEG,LENGTH,lnlength,total_crash,fatal,injury,pdo,WIDTH,LANES,SPEED,DIVISOR,L_S_PAVE,L_S_TOTL,R_S_PAVE,R_S_TOTL,Dir,U_R_CODE,SURFACE,DIST,ACC_CTRL,CO,CTL,lane_width,divwidth,divwidth_1p,divwidth_2l,divwidth_4l,divwidth_6l,divwidth_8l,divwidth_10l,divwidth_12l,barrier3,parking_lane,parking_lane_2,AADT,K,T
24,1,30,530,2468.0,-0.760518014,5.4,0.2,1.4,3.8,30.0,2.0,35.0,0.0,4.0,4.0,4.0,4.0,,2.0,62.0,8.0,3.0,1.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12912.4,11.0,7.0
25,1,30,540,3041.0,-0.551739693,6.2,0.0,2.8,3.4,44.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,22.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12912.4,11.0,7.0
26,1,30,550,788.0,-1.9021832939999999,3.8,0.2,1.6,2.0,30.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,12912.4,11.0,7.0
27,1,30,552,253.0,-3.038291931,4.0,0.2,1.0,2.8,40.0,2.0,45.0,8.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9630.0,,
28,1,30,553,253.0,-3.038291931,4.2,0.0,2.4,1.8,40.0,2.0,45.0,8.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9630.0,,
29,1,30,554,1138.0,-1.534653783,4.6,0.0,2.6,2.0,35.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,17.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,16850.0,,
30,1,34,10,983.0,-1.6810722349999998,4.2,0.2,1.2,2.8,39.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,52.0,8.0,3.0,1.0,1.0,19.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6653.0,10.0,8.0
31,1,34,20,2662.0,-0.684848368,4.4,0.2,2.6,1.6,22.0,2.0,40.0,0.0,3.0,3.0,4.0,4.0,,2.0,61.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6653.0,10.0,8.0
32,1,34,30,2208.0,-0.871838987,2.8,0.0,0.8,2.0,22.0,2.0,40.0,0.0,3.0,3.0,3.0,3.0,,2.0,61.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6420.8,9.0,4.0
33,1,34,40,2864.0,-0.611706853,4.4,0.0,1.2,3.2,24.0,2.0,40.0,0.0,3.0,3.0,4.0,4.0,,2.0,61.0,8.0,3.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6420.8,9.0,4.0
34,1,34,50,3143.0,-0.518748343,2.8,0.0,0.8,2.0,22.0,2.0,40.0,0.0,3.0,3.0,3.0,3.0,,2.0,61.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6420.8,9.0,4.0
35,1,34,60,3797.0,-0.329714805,4.4,0.0,0.8,3.6,22.0,2.0,40.0,0.0,3.0,3.0,3.0,3.0,,2.0,61.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6420.8,9.0,4.0
36,1,34,70,1730.0,-1.115804672,3.8,0.0,2.0,1.8,22.0,2.0,40.0,0.0,3.0,3.0,3.0,3.0,,2.0,61.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6420.8,9.0,4.0
37,1,34,80,3315.0,-0.465468466,3.4,0.0,1.2,2.2,22.0,2.0,45.0,0.0,3.0,3.0,3.0,3.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6420.8,9.0,4.0
38,1,94,10,3591.0,-0.385495394,6.6,0.2,3.0,3.4,57.0,2.0,45.0,0.0,3.0,3.0,3.0,3.0,,2.0,61.0,8.0,3.0,1.0,0.0,28.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19387.4,9.0,6.0
39,1,94,70,2833.0,-0.622589886,5.4,0.4,2.2,2.8,24.0,2.0,45.0,0.0,6.0,6.0,6.0,6.0,,2.0,61.0,8.0,3.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14223.8,10.0,5.0
40,1,97,40,3312.0,-0.466373861,6.4,0.2,3.4,2.8,38.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,61.0,8.0,3.0,1.0,0.0,19.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11009.2,11.0,4.0
41,1,97,50,2697.0,-0.67178607,5.2,0.2,1.4,3.6,38.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,61.0,8.0,3.0,1.0,0.0,19.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11009.2,11.0,4.0
42,1,97,60,1196.0,-1.48494339,3.8,0.0,2.4,1.4,22.0,2.0,45.0,0.0,7.0,7.0,7.0,7.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9386.6,10.0,4.0
43,1,97,70,3418.0,-0.434870511,6.4,0.0,4.2,2.2,22.0,2.0,45.0,0.0,7.0,7.0,7.0,7.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9386.6,10.0,4.0
44,1,97,180,3070.0,-0.542248547,4.4,0.0,2.8,1.6,22.0,2.0,45.0,0.0,7.0,7.0,7.0,7.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7567.6,11.0,5.0
45,1,97,184,561.0,-2.241960526,5.2,0.0,2.8,2.4,30.0,2.0,45.0,1.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4775.8,11.0,5.0
46,1,97,185,543.0,-2.274572134,5.8,0.0,3.0,2.8,30.0,2.0,45.0,1.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4775.8,11.0,5.0
47,1,97,190,143.0,-3.608836651,3.6,0.0,0.8,2.8,31.0,2.0,45.0,1.0,0.0,0.0,0.0,0.0,,2.0,98.0,8.0,3.0,1.0,0.0,15.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,4691.0,11.0,5.0
48,1,116,210,1836.0,-1.056336761,4.6,0.0,1.6,3.0,40.0,2.0,40.0,0.0,3.0,3.0,3.0,3.0,,2.0,61.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9874.2,10.0,3.0
49,1,116,220,2768.0,-0.645801067,3.2,0.2,1.6,1.4,24.0,2.0,40.0,0.0,4.0,4.0,6.0,6.0,,2.0,61.0,8.0,3.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9874.2,10.0,3.0
50,1,116,230,1093.0,-1.574999928,2.2,0.0,0.6,1.6,25.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,12.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10521.8,11.0,3.0
51,1,116,240,2567.0,-0.721188188,2.0,0.0,0.6,1.4,25.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,12.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10521.8,11.0,3.0
52,1,116,244,452.0,-2.457999229,2.8,0.2,1.2,1.4,42.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,21.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,13443.8,,
53,1,116,248,1199.0,-1.482438207,2.8,0.4,1.6,0.8,39.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,19.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3981.2,11.0,3.0
54,1,116,250,2846.0,-0.618011594,3.2,0.0,1.8,1.4,22.0,2.0,45.0,0.0,3.0,3.0,3.0,3.0,,2.0,61.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6930.2,11.0,1.0
55,1,116,260,2438.0,-0.772748053,1.0,0.0,0.4,0.6,22.0,2.0,45.0,0.0,3.0,3.0,3.0,3.0,,2.0,61.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6930.2,11.0,1.0
56,1,116,270,1981.0,-0.980324328,1.2,0.0,0.6,0.6,22.0,2.0,45.0,0.0,3.0,3.0,3.0,3.0,,2.0,61.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8067.2,11.0,6.0
57,1,116,280,3423.0,-0.433408737,3.8,0.0,2.4,1.4,22.0,2.0,45.0,0.0,3.0,3.0,3.0,3.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8067.2,11.0,6.0
58,1,116,290,2178.0,-0.8855190870000001,4.6,0.0,1.6,3.0,22.0,2.0,45.0,0.0,3.0,3.0,3.0,3.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8067.2,11.0,6.0
59,1,116,300,1775.0,-1.09012568,17.6,0.0,7.0,10.6,22.0,2.0,45.0,0.0,3.0,3.0,3.0,3.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8067.2,11.0,6.0
60,1,116,310,2259.0,-0.849003851,20.4,0.0,6.6,13.8,22.0,2.0,45.0,0.0,3.0,3.0,3.0,3.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8067.2,11.0,6.0
61,1,116,320,3712.0,-0.352355272,6.0,0.0,3.0,3.0,22.0,2.0,45.0,0.0,3.0,3.0,3.0,3.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8067.2,11.0,6.0
62,1,116,330,2127.0,-0.9092135430000001,4.8,0.0,2.6,2.2,22.0,2.0,35.0,0.0,3.0,3.0,3.0,3.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8067.2,11.0,6.0
63,1,116,340,1970.0,-0.9858925339999999,5.0,0.0,1.2,3.8,22.0,2.0,35.0,0.0,2.0,2.0,2.0,2.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8067.2,11.0,6.0
64,1,116,350,910.0,-1.758236766,4.6,0.0,2.6,2.0,22.0,2.0,35.0,0.0,2.0,2.0,2.0,2.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7625.0,11.0,3.0
65,1,116,360,3501.0,-0.41087746599999997,7.0,0.0,1.6,5.4,22.0,2.0,35.0,0.0,2.0,2.0,2.0,2.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7625.0,11.0,3.0
66,1,116,440,2485.0,-0.753653467,7.8,0.0,2.4,5.4,22.0,2.0,40.0,0.0,5.0,5.0,3.0,3.0,,2.0,61.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9021.0,11.0,3.0
67,1,116,450,1972.0,-0.9848778250000001,3.8,0.0,1.4,2.4,22.0,2.0,40.0,0.0,6.0,6.0,6.0,6.0,,2.0,52.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9021.0,11.0,3.0
68,1,116,460,3389.0,-0.443391204,7.6,0.0,4.0,3.6,22.0,2.0,40.0,0.0,8.0,8.0,8.0,8.0,,2.0,52.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11133.2,9.0,6.0
69,1,116,470,1987.0,-0.9773001069999999,7.0,0.0,3.0,4.0,33.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,52.0,8.0,3.0,1.0,0.0,16.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11133.2,9.0,6.0
