"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2015071842,"02","3","1412 HORIZON DR","","BROCKWAY","PA","15824","ROBERT K SNYDER","8145917645","011000","","","","","N","","","","","","N","","1","02517052","03"
2015069850,"03","4","357 KID LONG RD.","","GALLITZIN","PA","16641","DJ NILESKI","8148867995","073280","","","","","N","","","","","","N","","1","00301133","04"
2015095375,"05","1","75 TYLER PLACE","","SOUTH PLAINFIELD","NJ","07080","OLEXION RUBBISH HAULING","9085617800","079700","","","","","N","","","","","","N","","2","00847476","08"
2015017435,"03","1","235 JERMYN FARM ROAD","","SCOTT TOWNSHIP","PA","18433","NICHOLAS A. CARRUBA JR","5705615697","080000","","","","","N","","","","","000733058","N","","1","02101890","09"
2015013745,"99","9","13173 US ROUTE 422","","KITTANNING","PA","16201","ROSEBUD TRUCKING CO","9999999999","073280","","","","","N","","","","","","U","","2","","99"
2015128107,"05","3","149 MAPLE LANE","","CONNELLSVILLE","PA","15425","KERN TRUCKING LLC","7243234389","","","","","","N","","","","","","N","","2","02136495","08"
2015060900,"05","1","217 GRAND AVENUE","","SUPERIOR","WI","54880","HALVOR LINES INC","8002332914","080000","","","","","N","","","","","","N","","2","00075250","08"
2015060900,"05","1","1000 FEDEX DRIVE","","CORAOPOLIS","PA","15230","FEDEX GROUND PACKAGE SYSTEM INC","4122691000","080000","","","","","N","","","","","","N","","1","00265752","08"
2015092308,"99","9","13689 DREAM HIGHWAY","","NEWBURG","PA","17240","DREAM FARMS","7174770992","017000","","","","","N","","","","","","N","","1","00000999","08"
2015042423,"05","3","212 BLACK HORSE LANE","","NORTH BRUNSWICK","NJ","08902","EASTERN FREIGHT WAYS INC","7329407200","080000","","","","","N","","","","","","N","","1","00580793","08"
2015015293,"02","8","1030 ANDREW DRIVE","","WEST CHESTER","PA","19380","KRAPF BUS COMPANIES","4848791503","031000","","","","","N","","","","","","N","","2","00774388","11"
2015049977,"02","8","2235 BEAVR AVENUE","","PITTSBURGH","PA","15233","PORT AUTHORITY","4125665500","000000","","","","","N","","","","","000000000","U","","2","00000000","11"
2015011208,"02","8","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY","4125665214","","","","","","N","","","","","","N","A-00976006","1","","11"
2015103036,"02","1","10 CAREY AVE","","WILKES BARRE","PA","18702","KUS TIRE INC","5278231124","025950","","","","","N","","","","","","N","","1","00436354","03"
2015107749,"05","1","12 SPRINGFIELD AVE","","GREENLAWN","NY","11740","LA;FAMILIA;TRANSPORT;INC","9999999999","080000","","","","","N","","","","","","N","","1","01279767","08"
2015035318,"99","9","1027 CLEMENTS AVE","","UPPER CHICHESTER","PA","19061","SKINNER TREE SERVICE","6104944545","","","","","","N","","","","","","U","","1","00245847","09"
2015102062,"05","1","4909 S 33RD ST","","OMAHA","NE","68107","THE UNIVERSE CO INC","4022505721","046000","","","","","N","","","","","","N","","2","00053437","08"
2015119831,"02","9","2188 DETWILER RD","","HARLEYSVILLE","PA","19438","HORGAN BROTHERS","9999999999","011000","","","","","N","","","","","","N","","1","","02"
2015049043,"99","9","3100 PENROSE FERRY RD","","PHILA","PA","19145","PHILA HOUSING AUTHORITY","9999999999","019500","","","","","N","","","","","","N","","3","","05"
2015025207,"06","1","1512 WEST ELIZABETH AVE","","LINDEN","NJ","07036","WHALE TRUCKING","9089124215","070000","","","","","N","","","","","","N","","1","02389579","08"
2015019519,"02","0","188 LINCOLN HWY STE 100","","FAIRLESS HILLS","PA","19030","TOWNSHIP OF FALLS","9999999999","999999","","","","","","","","","","","N","","2","","05"
2015091594,"03","4","815 FOREST ST","","FLEETWOOD","PA","19522","DWG TRUCKNIG","6102073139","080400","","","","","N","","","","","","N","","1","01235874","04"
2015017878,"05","1","2052 SW. 60TH STREET","","MIAMI","FL","33155","TONY TRANSPORTATION INC.","7862226260","078100","","","","","N","","","","","","N","","1","01532233","08"
2016001087,"05","3","813 DUNBAR RD","","CARLISLE","PA","17013","LANDSTAR RANGER INC","7172436889","080000","","","","","N","","","","","","N","","1","00241572","06"
2015093281,"99","9","XXXXXXXXXX","","XXXXXXXXXXXX","ZZ","99999-9999","XXXXXXXXXXXX","9999999999","999999","","","","","","","","","","999999999","U","","1","99999999","99"
